题目1: (82.0-81.0)×20.0=
题目2629: 79.0+63.0×86.0=
题目2630: 98.0÷82.0=
题目2631: 39.0+59.0-86.0+34.0=
题目2632: 36.0+49.0+16.0+98.0=
题目2633: 3.0÷50.0÷83.0=
题目2634: 93.0×5.0=
题目2635: 3.0×52.0+83.0=
题目2636: 23.0+54.0=
题目2637: 90.0÷64.0÷61.0=
题目2638: 86.0+94.0=
题目2639: 51.0-5.0=
题目2640: 16.0÷23.0+80.0=
题目2641: 9.0+74.0+51.0=
题目2642: 51.0÷52.0=
题目2643: 78.0-71.0+61.0=
题目2644: 16.0×22.0+91.0=
题目2645: 25.0×19.0÷23.0=
题目2646: 69.0÷55.0=
题目2647: 45.0-27.0=
题目2648: 28.0+18.0+46.0=
题目2649: 88.0+22.0=
题目2650: 11.0×6.0=
题目2651: 74.0×11.0=
题目2652: 50.0-48.0=
题目2653: 7.0×36.0÷83.0=
题目2654: (88.0-69.0)×57.0=
题目2655: 90.0÷59.0=
题目2656: 23.0×95.0=
题目2657: 30.0+48.0×70.0+55.0=
题目2658: 13.0÷2.0=
题目2659: 55.0÷59.0=
题目2660: 84.0+45.0+35.0=
题目2661: 62.0×32.0+89.0=
题目2662: 26.0÷24.0=
题目2663: 72.0+43.0+68.0=
题目2664: 22.0×52.0÷85.0=
题目2665: 62.0+55.0×47.0=
题目2666: 12.0+48.0=
题目2667: 25.0×8.0×74.0=
题目2668: 5.0÷83.0=
题目2669: 49.0×57.0+9.0=
题目2670: 63.0+42.0-50.0=
题目2671: 56.0-38.0=
题目2672: (28.0-26.0)÷30.0=
题目2673: 79.0-26.0+19.0=
题目2674: 98.0+65.0-2.0=
题目2675: 27.0+44.0=
题目2676: 66.0+27.0=
题目2677: 22.0×75.0=
题目2678: 48.0÷21.0=
题目2679: 96.0+80.0÷79.0=
题目2680: 92.0-39.0-29.0=
题目2681: 37.0+34.0=
题目2682: 35.0-31.0=
题目2683: 79.0×98.0=
题目2684: 28.0-23.0=
题目2685: 90.0×67.0+48.0=
题目2686: 5.0×69.0=
题目2687: (91.0-21.0)÷24.0=
题目2688: 85.0÷45.0+92.0=
题目2689: 85.0+21.0-40.0+97.0=
题目2690: 43.0+70.0÷6.0+7.0=
题目2691: 27.0×7.0=
题目2692: 49.0÷44.0=
题目2693: 83.0×71.0=
题目2694: 66.0-54.0+81.0=
题目2695: 21.0÷29.0=
题目2696: 24.0×64.0=
题目2697: (60.0-27.0)÷19.0=
题目2698: 23.0+28.0×81.0+93.0=
题目2699: 70.0×10.0×10.0=
题目2700: 56.0-53.0=
题目2701: 86.0-27.0=
题目2702: 82.0+89.0=
题目2703: 83.0÷33.0÷42.0=
题目2704: 78.0×12.0=
题目2705: 16.0×65.0=
题目2706: 2.0÷90.0+74.0=
题目2707: 97.0×89.0+52.0=
题目2708: 97.0+6.0=
题目2709: 69.0÷74.0=
题目2710: 36.0-3.0=
题目2711: 9.0÷20.0+69.0=
题目2712: 7.0+47.0-46.0=
题目2713: 100.0×13.0+43.0=
题目2714: 25.0×13.0÷58.0=
题目2715: 54.0+14.0=
题目2716: 39.0-27.0=
题目2717: 37.0×73.0=
题目2718: 36.0÷92.0×78.0=
题目2719: 67.0×77.0÷85.0=
题目2720: 98.0+63.0=
题目2721: (20.0-17.0)÷37.0=
题目2722: 61.0+89.0-17.0+94.0=
题目2723: 76.0×95.0+50.0=
题目2724: 45.0×68.0+7.0=
题目2725: 19.0×76.0=
题目2726: 38.0+98.0=
题目2727: 8.0+16.0=
题目2728: 98.0×59.0=
题目2729: 98.0+41.0÷73.0+57.0=
题目2730: 28.0+88.0=
题目2731: 40.0+67.0-2.0=
题目2732: 89.0+100.0=
题目2733: 40.0-11.0=
题目2734: 8.0×28.0=
题目2735: 30.0-13.0=
题目2736: 19.0+53.0=
题目2737: 57.0+2.0=
题目2738: 35.0×70.0+57.0=
题目2739: 77.0×31.0=
题目2740: 85.0-82.0=
题目2741: 25.0×85.0=
题目2742: 56.0+5.0×44.0=
题目2743: 74.0÷100.0÷71.0=
题目2744: 54.0+18.0=
题目2745: 26.0÷35.0×2.0=
题目2746: 93.0-91.0=
题目2747: 18.0÷63.0×82.0=
题目2748: 4.0+60.0+39.0+2.0=
题目2749: (87.0-53.0)÷32.0=
题目2750: 88.0÷29.0×78.0=
题目2751: 10.0×89.0=
题目2752: 96.0-13.0=
题目2753: 91.0÷8.0÷97.0=
题目2754: 70.0÷4.0=
题目2755: 90.0÷3.0=
题目2756: 98.0-97.0=
题目2757: 72.0+39.0×29.0+10.0=
题目2758: 83.0×2.0×21.0=
题目2759: 29.0+38.0=
题目2760: 53.0-30.0+25.0=
题目2761: 3.0+74.0=
题目2762: 8.0÷32.0=
题目2763: 3.0×47.0=
题目2764: 2.0×2.0=
题目2765: 60.0-46.0=
题目2766: 38.0-48.0+59.0=
题目2767: 88.0×61.0=
题目2768: 71.0×43.0=
题目2769: 23.0÷92.0=
题目2770: 42.0+98.0÷48.0=
题目2771: 9.0÷25.0×65.0=
题目2772: 99.0-6.0=
题目2773: 93.0-79.0=
题目2774: 95.0-89.0=
题目2775: 62.0÷76.0=
题目2776: 59.0+68.0=
题目2777: 84.0+17.0÷43.0-21.0=
题目2778: 59.0×45.0=
题目2779: 32.0÷36.0×86.0=
题目2780: 35.0+16.0=
题目2781: 74.0+52.0÷65.0=
题目2782: 99.0-92.0=
题目2783: 4.0×37.0÷47.0=
题目2784: 77.0+14.0+41.0=
题目2785: 100.0÷74.0÷46.0=
题目2786: 80.0÷15.0=
题目2787: 1.0÷60.0+32.0=
题目2788: 33.0×44.0=
题目2789: 45.0÷23.0=
题目2790: 78.0×26.0+86.0=
题目2791: 63.0-74.0+38.0=
题目2792: 89.0-68.0=
题目2793: 21.0+52.0-16.0+8.0=
题目2794: 92.0+7.0-72.0=
题目2795: 72.0÷78.0=
题目2796: 10.0÷47.0=
题目2797: 10.0÷27.0=
题目2798: 12.0×49.0=
题目2799: 22.0×43.0+88.0=
题目2800: 60.0+29.0×15.0=
题目2801: 5.0+46.0÷55.0×83.0=
题目2802: 96.0-78.0=
题目2803: 38.0+29.0×73.0=
题目2804: 44.0÷52.0=
题目2805: 68.0×45.0+22.0=
题目2806: 60.0×25.0+46.0=
题目2807: 19.0×82.0=
题目2808: 74.0×1.0=
题目2809: 14.0+27.0÷13.0=
题目2810: 36.0×28.0=
题目2811: 54.0-18.0=
题目2812: 54.0+8.0=
题目2813: 40.0×41.0+20.0=
题目2814: 82.0÷9.0÷15.0=
题目2815: 84.0×24.0+7.0=
题目2816: 58.0×3.0=
题目2817: 88.0×48.0=
题目2818: 80.0÷71.0+37.0=
题目2819: 66.0×51.0=
题目2820: 94.0-31.0=
题目2821: 76.0÷53.0=
题目2822: 56.0-19.0=
题目2823: 22.0÷99.0=
题目2824: 66.0+21.0×56.0+63.0=
题目2825: 96.0-3.0+46.0=
题目2826: 19.0÷63.0=
题目2827: (74.0-46.0)÷61.0=
题目2828: 35.0÷31.0+22.0=
题目2829: 13.0+81.0÷31.0+27.0=
题目2830: 50.0+59.0=
题目2831: 92.0÷27.0=
题目2832: 15.0÷98.0=
题目2833: 47.0÷13.0=
题目2834: 99.0×86.0=
题目2835: 23.0+41.0×82.0=
题目2836: 85.0×100.0×9.0=
题目2837: 64.0×30.0=
题目2838: 64.0×75.0+9.0=
题目2839: 40.0÷55.0=
题目2840: 95.0÷93.0=
题目2841: 68.0+47.0=
题目2842: 85.0÷71.0=
题目2843: 23.0×94.0=
题目2844: 11.0+37.0÷22.0=
题目2845: 76.0÷86.0÷87.0=
题目2846: (83.0-10.0)÷15.0=
题目2847: 65.0÷2.0+88.0=
题目2848: 94.0-45.0=
题目2849: 49.0-18.0=
题目2850: 76.0+73.0+66.0=
题目2851: 78.0×83.0=
题目2852: 73.0÷16.0=
题目2853: 14.0×43.0÷78.0=
题目2854: 81.0÷13.0=
题目2855: 33.0+57.0=
题目2856: 56.0+14.0+32.0=
题目2857: 59.0÷92.0=
题目2858: 97.0+53.0-63.0=
题目2859: 9.0÷16.0=
题目2860: 94.0÷27.0+73.0=
题目2861: 62.0-37.0=
题目2862: 57.0+89.0-1.0=
题目2863: 8.0+96.0=
题目2864: 64.0×15.0+62.0=
题目2865: 29.0÷32.0=
题目2866: 60.0×55.0=
题目2867: 36.0×97.0÷90.0=
题目2868: 75.0×47.0+97.0=
题目2869: 23.0÷1.0=
题目2870: 9.0×53.0+91.0=
题目2871: 50.0-63.0+48.0=
题目2872: 74.0+39.0=
题目2873: 59.0×21.0=
题目2874: 21.0+41.0÷80.0=
题目2875: 78.0+8.0=
题目2876: 48.0÷70.0=
题目2877: 75.0×64.0=
题目2878: 91.0+95.0-86.0+93.0=
题目2879: 49.0-44.0+55.0=
题目2880: 61.0÷28.0=
题目2881: 53.0+88.0=
题目2882: 51.0+67.0=
题目2883: 37.0÷91.0×72.0=
题目2884: 12.0÷53.0×34.0=
题目2885: 51.0+50.0=
题目2886: 26.0+10.0+44.0=
题目2887: 23.0×7.0×3.0=
题目2888: 59.0+57.0×58.0=
题目2889: 62.0÷88.0=
题目2890: 18.0+89.0=
题目2891: 50.0-46.0=
题目2892: 41.0-30.0=
题目2893: 5.0×16.0=
题目2894: 9.0×99.0+47.0=
题目2895: 75.0×24.0÷24.0=
题目2896: 8.0+94.0+33.0=
题目2897: 74.0+61.0=
题目2898: 64.0÷34.0=
题目2899: (95.0-50.0)×49.0=
题目2900: 49.0-38.0+10.0=
题目2901: 81.0÷4.0÷88.0=
题目2902: (84.0-57.0)÷84.0=
题目2903: 90.0-64.0-5.0=
题目2904: 24.0+22.0×38.0=
题目2905: 44.0+59.0=
题目2906: 20.0+59.0+39.0+91.0=
题目2907: 10.0×97.0=
题目2908: 66.0-33.0=
题目2909: 97.0×75.0=
题目2910: 31.0+49.0=
题目2911: (82.0-30.0)÷31.0=
题目2912: 69.0÷78.0×74.0=
题目2913: 88.0×20.0+65.0=
题目2914: 76.0÷50.0=
题目2915: 44.0×69.0=
题目2916: 37.0×9.0÷36.0=
题目2917: 88.0÷80.0=
题目2918: 75.0-38.0=
题目2919: 75.0×88.0=
题目2920: 37.0÷62.0+60.0=
题目2921: 57.0÷75.0÷43.0=
题目2922: 71.0-72.0+3.0=
题目2923: 47.0+31.0=
题目2924: 18.0+26.0÷66.0×44.0=
题目2925: 11.0×60.0=
题目2926: 97.0+21.0×84.0=
题目2927: 11.0+86.0=
题目2928: (87.0-9.0)×77.0=
题目2929: 44.0-38.0=
题目2930: 51.0-27.0=
题目2931: 1.0+13.0=
题目2932: (60.0-58.0)÷78.0=
题目2933: 71.0÷60.0×9.0=
题目2934: 32.0×8.0=
题目2935: (63.0-28.0)×90.0=
题目2936: 48.0+6.0+55.0=
题目2937: 22.0+72.0×37.0=
题目2938: 55.0-11.0=
题目2939: 15.0÷18.0×6.0=
题目2940: 86.0÷9.0÷53.0=
题目2941: 95.0÷49.0×88.0=
题目2942: 74.0+95.0+36.0=
题目2943: 4.0×59.0+85.0=
题目2944: 28.0÷68.0=
题目2945: 16.0÷50.0=
题目2946: 69.0+7.0×94.0=
题目2947: 88.0+8.0+90.0=
题目2948: 31.0×38.0=
题目2949: 5.0÷34.0=
题目2950: 34.0×53.0+46.0=
题目2951: 85.0+82.0=
题目2952: 76.0÷21.0×78.0=
题目2953: 83.0-36.0=
题目2954: 81.0×2.0=
题目2955: 76.0÷99.0=
题目2956: 31.0+33.0=
题目2957: 41.0÷87.0÷16.0=
题目2958: 11.0÷4.0=
题目2959: 1.0÷67.0=
题目2960: 21.0+72.0=
题目2961: 91.0×68.0=
题目2962: 48.0+40.0-44.0+42.0=
题目2963: 90.0-20.0=
题目2964: 68.0÷52.0=
题目2965: 57.0×83.0=
题目2966: 65.0-3.0=
题目2967: 58.0-32.0=
题目2968: 59.0÷5.0=
题目2969: 65.0-55.0=
题目2970: 17.0÷39.0=
题目2971: 82.0÷64.0=
题目2972: 74.0+44.0-80.0+19.0=
题目2973: 43.0×25.0=
题目2974: 37.0+95.0=
题目2975: 13.0×19.0+31.0=
题目2976: (91.0-28.0)×34.0=
题目2977: 45.0+88.0×61.0=
题目2978: 58.0÷30.0=
题目2979: 50.0÷21.0×73.0=
题目2980: 24.0+79.0=
题目2981: (41.0-40.0)×32.0=
题目2982: 87.0-86.0=
题目2983: 80.0+75.0÷82.0=
题目2984: 20.0+99.0=
题目2985: 61.0-27.0=
题目2986: 8.0+93.0×41.0=
题目2987: (84.0-72.0)÷17.0=
题目2988: 59.0-16.0=
题目2989: 3.0+99.0÷26.0=
题目2990: 99.0÷20.0=
题目2991: 78.0÷57.0=
题目2992: 54.0×70.0+67.0=
题目2993: 62.0×86.0×4.0=
题目2994: 79.0÷49.0÷33.0=
题目2995: 13.0÷60.0=
题目2996: 62.0÷66.0+74.0=
题目2997: 84.0+61.0-48.0+27.0=
题目2998: 20.0÷67.0+100.0=
题目2999: 76.0÷74.0=
题目3000: 55.0×94.0=
题目3001: 19.0+94.0÷87.0=
题目3002: 80.0÷63.0÷79.0=
题目3003: 57.0×12.0+36.0=
题目3004: 36.0÷26.0÷87.0=
题目3005: 33.0-13.0=
题目3006: 48.0×15.0×100.0=
题目3007: 97.0×31.0=
题目3008: 28.0+27.0÷90.0=
题目3009: 96.0×5.0=
题目3010: 77.0×90.0=
题目3011: 74.0÷89.0=
题目3012: 58.0×51.0=
题目3013: 75.0-66.0+25.0=
题目3014: 92.0÷69.0+47.0=
题目3015: 1.0×77.0+65.0=
题目3016: 8.0÷56.0=
题目3017: 49.0×57.0=
题目3018: 26.0÷82.0=
题目3019: 79.0+64.0=
题目3020: 56.0×19.0=
题目3021: 50.0+35.0=
题目3022: 52.0-28.0=
题目3023: 53.0÷38.0=
题目3024: 96.0+40.0+43.0=
题目3025: 46.0+79.0+62.0=
题目3026: 63.0÷63.0=
题目3027: (76.0-55.0)÷65.0=
题目3028: 39.0+25.0=
题目3029: 19.0÷64.0=
题目3030: 68.0×95.0=
题目3031: 51.0×44.0=
题目3032: 53.0÷91.0×76.0=
题目3033: 47.0×62.0×36.0=
题目3034: (34.0-31.0)×9.0=
题目3035: 2.0+58.0×7.0=
题目3036: 95.0-61.0=
题目3037: 16.0-1.0=
题目3038: 3.0×84.0=
题目3039: 76.0×47.0÷94.0=
题目3040: 65.0-13.0=
题目3041: 96.0×90.0+92.0=
题目3042: 26.0-23.0=
题目3043: 56.0×80.0+79.0=
题目3044: 50.0+27.0×32.0=
题目3045: 84.0-60.0+15.0=
题目3046: 95.0+9.0÷69.0=
题目3047: 72.0-4.0=
题目3048: 26.0×16.0=
题目3049: 6.0×77.0×53.0=
题目3050: 75.0×73.0+49.0=
题目3051: 59.0÷73.0=
题目3052: 85.0+76.0÷77.0×22.0=
题目3053: 6.0÷71.0×87.0=
题目3054: 66.0+97.0=
题目3055: 37.0×52.0÷69.0=
题目3056: 55.0×35.0×82.0=
题目3057: (80.0-13.0)×22.0=
题目3058: 72.0+10.0=
题目3059: 15.0+20.0=
题目3060: 57.0-50.0+38.0=
题目3061: 54.0÷80.0×97.0=
题目3062: 43.0-13.0=
题目3063: 25.0×58.0+100.0=
题目3064: 40.0×49.0×76.0=
题目3065: 61.0+22.0-1.0=
题目3066: 31.0-28.0=
题目3067: 72.0-29.0=
题目3068: (9.0-3.0)×60.0=
题目3069: 82.0+73.0×26.0=
题目3070: 67.0-36.0=
题目3071: 41.0÷41.0=
题目3072: 13.0-1.0=
题目3073: 49.0×22.0=
题目3074: 29.0+62.0÷76.0×40.0=
题目3075: (38.0-23.0)÷57.0=
题目3076: 17.0+54.0÷16.0=
题目3077: (80.0-52.0)÷32.0=
题目3078: 69.0÷25.0÷1.0=
题目3079: 42.0+87.0-64.0=
题目3080: 22.0×94.0=
题目3081: 56.0÷99.0=
题目3082: 16.0÷38.0=
题目3083: 84.0+19.0=
题目3084: 79.0-31.0+55.0=
题目3085: 47.0×48.0÷23.0=
题目3086: 58.0×40.0=
题目3087: (99.0-84.0)×79.0=
题目3088: 46.0+51.0+1.0+25.0=
题目3089: 7.0×8.0+28.0=
题目3090: 88.0÷25.0÷91.0=
题目3091: 93.0÷64.0+45.0=
题目3092: 74.0×25.0=
题目3093: 89.0+63.0-79.0=
题目3094: 23.0-73.0+95.0=
题目3095: 68.0-13.0=
题目3096: 17.0×81.0=
题目3097: (85.0-61.0)÷7.0=
题目3098: 5.0+80.0-70.0=
题目3099: 75.0-17.0=
题目3100: 17.0+33.0-7.0=
题目3101: 91.0+38.0=
题目3102: 76.0+95.0×15.0=
题目3103: (82.0-38.0)×16.0=
题目3104: 74.0+54.0=
题目3105: 87.0-49.0=
题目3106: 30.0-23.0=
题目3107: 12.0×9.0+66.0=
题目3108: 81.0×54.0+91.0=
题目3109: 50.0+92.0-32.0=
题目3110: 74.0×48.0=
题目3111: 18.0×28.0=
题目3112: 63.0×4.0=
题目3113: 39.0+63.0+49.0+29.0=
题目3114: 66.0÷10.0=
题目3115: 50.0÷23.0=
题目3116: 9.0+54.0-33.0=
题目3117: 30.0×34.0+46.0=
题目3118: 75.0×5.0÷94.0=
题目3119: 72.0+100.0-71.0=
题目3120: 93.0+10.0=
题目3121: 6.0+21.0=
题目3122: 30.0×93.0+39.0=
题目3123: 3.0×25.0÷80.0=
题目3124: 27.0+85.0-17.0=
题目3125: 81.0+15.0+19.0=
题目3126: 20.0+93.0÷96.0×26.0=
题目3127: 96.0-54.0=
题目3128: 97.0-69.0=
题目3129: 42.0×90.0=
题目3130: 98.0+9.0=
题目3131: 21.0×84.0=
题目3132: 93.0÷14.0=
题目3133: 42.0×44.0×39.0=
题目3134: 86.0×94.0+60.0=
题目3135: (97.0-4.0)×35.0=
题目3136: 57.0+21.0+43.0=
题目3137: 90.0+11.0×35.0+69.0=
题目3138: 29.0×50.0+37.0=
题目3139: 94.0÷16.0+81.0=
题目3140: 96.0÷69.0=
题目3141: 42.0÷73.0×80.0=
题目3142: 2.0÷97.0=
题目3143: 68.0÷72.0=
题目3144: 47.0+30.0=
题目3145: 56.0-8.0+68.0=
题目3146: 92.0-56.0=
题目3147: 8.0×52.0=
题目3148: 35.0×40.0=
题目3149: 94.0-26.0=
题目3150: 71.0+28.0÷62.0=
题目3151: (57.0-57.0)×32.0=
题目3152: 69.0÷35.0=
题目3153: 11.0×97.0+11.0=
题目3154: 76.0+8.0=
题目3155: 98.0×40.0=
题目3156: (85.0-74.0)×21.0=
题目3157: 54.0÷87.0=
题目3158: 30.0+50.0=
题目3159: 9.0÷63.0=
题目3160: 44.0+9.0+92.0=
题目3161: 58.0×35.0=
题目3162: 24.0÷51.0+52.0=
题目3163: 68.0×62.0=
题目3164: 57.0÷52.0=
题目3165: 11.0×67.0=
题目3166: 42.0×36.0=
题目3167: 67.0-46.0=
题目3168: 9.0÷10.0=
题目3169: 58.0÷57.0=
题目3170: 30.0+7.0×5.0=
题目3171: 83.0÷36.0=
题目3172: 49.0+48.0=
题目3173: 32.0-86.0+73.0=
题目3174: 70.0×78.0=
题目3175: 10.0×96.0=
题目3176: 58.0×44.0=
题目3177: 77.0×81.0+91.0=
题目3178: 65.0×17.0+10.0=
题目3179: 30.0+65.0÷60.0=
题目3180: 95.0×67.0=
题目3181: 91.0+100.0=
题目3182: 31.0×3.0÷71.0=
题目3183: 20.0×29.0÷36.0=
题目3184: 16.0×62.0×16.0=
题目3185: 24.0-12.0=
题目3186: 23.0×11.0÷66.0=
题目3187: 85.0÷87.0=
题目3188: 79.0+30.0+93.0=
题目3189: 48.0÷95.0=
题目3190: 1.0+25.0-29.0+24.0=
题目3191: 83.0-18.0+5.0=
题目3192: 38.0÷85.0=
题目3193: 8.0×70.0=
题目3194: 85.0÷88.0×95.0=
题目3195: 78.0+86.0=
题目3196: 35.0×63.0+73.0=
题目3197: 74.0-65.0=
题目3198: 99.0+65.0=
题目3199: 92.0-12.0=
题目3200: 96.0-18.0=
题目3201: (97.0-23.0)×55.0=
题目3202: 76.0÷46.0=
题目3203: 93.0-5.0=
题目3204: 26.0÷53.0=
题目3205: 90.0÷11.0+27.0=
题目3206: 98.0÷31.0=
题目3207: 42.0×73.0×89.0=
题目3208: 71.0÷98.0÷72.0=
题目3209: 80.0+33.0-38.0=
题目3210: 70.0÷95.0÷6.0=
题目3211: (83.0-48.0)×58.0=
题目3212: 6.0÷48.0=
题目3213: 44.0+42.0=
题目3214: 51.0÷15.0×72.0=
题目3215: 59.0+38.0+99.0=
题目3216: (86.0-6.0)×8.0=
题目3217: 54.0-24.0=
题目3218: 54.0+87.0÷86.0+98.0=
题目3219: 73.0-59.0=
题目3220: 97.0+97.0=
题目3221: 92.0×44.0+15.0=
题目3222: 85.0÷68.0+60.0=
题目3223: 54.0÷25.0=
题目3224: 69.0÷91.0=
题目3225: 88.0-84.0=
题目3226: (85.0-17.0)×34.0=
题目3227: 76.0+75.0=
题目3228: 16.0×85.0=
题目3229: 40.0-4.0=
题目3230: 92.0+2.0×23.0=
题目3231: 39.0+22.0×33.0=
题目3232: 27.0÷46.0+97.0=
题目3233: 98.0+61.0+1.0=
题目3234: 98.0÷28.0=
题目3235: 23.0+47.0=
题目3236: 57.0-39.0=
题目3237: 6.0+53.0=
题目3238: 11.0×71.0=
题目3239: 97.0×39.0=
题目3240: (83.0-57.0)÷35.0=
题目3241: (97.0-34.0)×86.0=
题目3242: 17.0-12.0=
题目3243: 26.0÷47.0=
题目3244: 41.0+88.0-28.0=
题目3245: 89.0-92.0+91.0=
题目3246: 73.0+91.0=
题目3247: 60.0+84.0÷57.0×55.0=
题目3248: 100.0÷31.0=
题目3249: 35.0÷3.0=
题目3250: 99.0+18.0+42.0=
题目3251: 31.0+48.0-79.0=
题目3252: 53.0+92.0×39.0=
题目3253: 37.0×18.0=
题目3254: 92.0×27.0=
题目3255: 19.0+100.0-55.0=
题目3256: 65.0×27.0=
题目3257: 93.0-21.0=
题目3258: 51.0+68.0÷50.0=
题目3259: 60.0×92.0×64.0=
题目3260: 73.0-34.0+35.0=
题目3261: 72.0-13.0=
题目3262: 47.0+23.0÷94.0+51.0=
题目3263: 97.0+24.0=
题目3264: 79.0+5.0÷39.0=
题目3265: 80.0+95.0×12.0=
题目3266: 13.0×28.0×81.0=
题目3267: 12.0÷64.0=
题目3268: 48.0×28.0=
题目3269: 75.0÷57.0=
题目3270: 94.0×56.0=
题目3271: 3.0÷16.0÷73.0=
题目3272: 90.0÷80.0=
题目3273: 58.0÷87.0×76.0=
题目3274: 97.0-23.0=
题目3275: 93.0×32.0+39.0=
题目3276: 30.0÷81.0+49.0=
题目3277: 18.0÷89.0=
题目3278: 74.0-56.0=
题目3279: 54.0-10.0=
题目3280: 21.0÷76.0=
题目3281: 68.0+19.0+61.0=
题目3282: 10.0+88.0-51.0=
题目3283: 70.0÷68.0=
题目3284: 92.0-22.0=
题目3285: 57.0+21.0÷59.0=
题目3286: 38.0×100.0+95.0=
题目3287: 16.0+44.0=
题目3288: 71.0-47.0+3.0=
题目3289: 64.0+11.0+18.0=
题目3290: 54.0×48.0+72.0=
题目3291: 42.0×36.0÷47.0=
题目3292: 49.0×14.0=
题目3293: 68.0-30.0=
题目3294: 49.0+56.0×73.0=
题目3295: 45.0÷74.0+11.0=
题目3296: 38.0+3.0=
题目3297: 13.0×58.0÷81.0=
题目3298: 96.0-16.0+52.0=
题目3299: 26.0÷48.0+31.0=
题目3300: (54.0-14.0)÷70.0=
题目3301: 2.0×80.0+99.0=
题目3302: 62.0+94.0×42.0=
题目3303: 83.0×94.0=
题目3304: 89.0+59.0=
题目3305: 81.0×54.0÷89.0=
题目3306: 31.0×77.0×14.0=
题目3307: 14.0+76.0×54.0+79.0=
题目3308: 56.0÷97.0×44.0=
题目3309: (72.0-37.0)×98.0=
题目3310: 39.0-76.0+74.0=
题目3311: 32.0÷95.0=
题目3312: 65.0-45.0=
题目3313: 10.0×87.0+48.0=
题目3314: (60.0-47.0)×39.0=
题目3315: 46.0+33.0÷11.0=
题目3316: 93.0+41.0=
题目3317: 14.0÷49.0+39.0=
题目3318: 10.0+58.0+14.0+62.0=
题目3319: 70.0×67.0+36.0=
题目3320: 67.0×74.0=
题目3321: 27.0+87.0+62.0=
题目3322: 34.0÷7.0=
题目3323: 54.0÷79.0+24.0=
题目3324: 70.0+68.0÷35.0=
题目3325: 79.0×88.0=
题目3326: 24.0×59.0=
题目3327: 29.0+12.0÷53.0+10.0=
题目3328: 58.0-48.0=
题目3329: 11.0÷64.0=
题目3330: 9.0×92.0=
题目3331: (93.0-5.0)×61.0=
题目3332: 37.0+94.0+61.0+19.0=
题目3333: 52.0+98.0=
题目3334: 87.0+2.0×17.0=
题目3335: (43.0-43.0)÷23.0=
题目3336: 92.0÷87.0=
题目3337: 8.0÷82.0×40.0=
题目3338: 80.0-52.0=
题目3339: (99.0-10.0)÷82.0=
题目3340: 82.0+77.0-34.0+67.0=
题目3341: 76.0+56.0×44.0=
题目3342: 62.0+40.0+64.0=
题目3343: 52.0×96.0=
题目3344: 57.0+29.0=
题目3345: 93.0×99.0=
题目3346: 45.0+5.0=
题目3347: 42.0+97.0-91.0=
题目3348: 56.0-11.0=
题目3349: 13.0×24.0=
题目3350: 54.0+73.0-8.0+55.0=
题目3351: 48.0÷96.0=
题目3352: 70.0÷57.0×36.0=
题目3353: 35.0×26.0+63.0=
题目3354: 90.0+46.0×39.0=
题目3355: (94.0-26.0)×88.0=
题目3356: 36.0-34.0=
题目3357: 6.0÷67.0=
题目3358: (51.0-32.0)÷49.0=
题目3359: 62.0-31.0=
题目3360: 43.0+44.0+63.0=
题目3361: 75.0÷50.0=
题目3362: 49.0×20.0+35.0=
题目3363: 53.0-28.0=
题目3364: 16.0+40.0×96.0=
题目3365: 35.0-9.0=
题目3366: 59.0×86.0+31.0=
题目3367: (87.0-61.0)÷93.0=
题目3368: 75.0+12.0+16.0=
题目3369: 26.0+80.0=
题目3370: 57.0+12.0=
题目3371: 74.0÷74.0=
题目3372: 80.0+71.0=
题目3373: 42.0÷33.0=
题目3374: 73.0+74.0=
题目3375: 38.0-28.0=
题目3376: 71.0+74.0+24.0=
题目3377: 57.0×97.0=
题目3378: 60.0+67.0=
题目3379: 83.0+35.0-21.0=
题目3380: 8.0+53.0=
题目3381: 80.0÷43.0=
题目3382: 21.0÷19.0÷49.0=
题目3383: 16.0+42.0=
题目3384: 60.0÷42.0=
题目3385: 98.0-90.0=
题目3386: 91.0+41.0=
题目3387: 56.0-28.0=
题目3388: 47.0-11.0=
题目3389: 6.0+76.0=
题目3390: 28.0÷26.0=
题目3391: 94.0×87.0+40.0=
题目3392: 77.0+49.0=
题目3393: 13.0+93.0-62.0=
题目3394: 25.0×30.0+78.0=
题目3395: 21.0+72.0=
题目3396: 88.0-82.0=
题目3397: 14.0÷86.0=
题目3398: 89.0+96.0×92.0=
题目3399: 93.0-62.0=
题目3400: 7.0+13.0=
题目3401: 4.0×71.0=
题目3402: 79.0÷37.0=
题目3403: 34.0×81.0=
题目3404: 3.0+88.0÷30.0+19.0=
题目3405: 48.0+97.0÷88.0+50.0=
题目3406: 95.0÷11.0=
题目3407: (99.0-41.0)÷21.0=
题目3408: 3.0+86.0÷13.0=
题目3409: 67.0×4.0=
题目3410: 75.0÷42.0=
题目3411: 75.0+4.0÷6.0=
题目3412: 31.0+33.0=
题目3413: 84.0×64.0×58.0=
题目3414: 57.0÷94.0+3.0=
题目3415: 99.0×33.0=
题目3416: 45.0×68.0+67.0=
题目3417: 51.0×63.0=
题目3418: 22.0+42.0=
题目3419: 67.0×49.0=
题目3420: 30.0+33.0×59.0=
题目3421: 3.0+52.0÷9.0×4.0=
题目3422: 73.0÷46.0=
题目3423: 10.0+65.0×42.0=
题目3424: 84.0-3.0=
题目3425: 75.0-12.0=
